Air (400mA 10ms)

Labels,Decay52,Decay52F1,Decay52F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.86E07,3.445E+4,3.433E+4,6.341E-1,
1.87E07,3.412E+4,3.408E+4,2.245E-1,
1.88E07,3.403E+4,3.384E+4,1.059E+0,
1.89E07,3.350E+4,3.359E+4,-5.180E-1,
1.9E07,3.307E+4,3.335E+4,-1.577E+0,
1.91E07,3.278E+4,3.311E+4,-1.844E+0,
1.92E07,3.305E+4,3.288E+4,9.482E-1,
1.93E07,3.243E+4,3.264E+4,-1.146E+0,
1.94E07,3.240E+4,3.241E+4,-4.401E-2,
1.95E07,3.226E+4,3.218E+4,4.435E-1,
1.96E07,3.220E+4,3.195E+4,1.423E+0,
1.97E07,3.138E+4,3.172E+4,-1.884E+0,
1.98E07,3.193E+4,3.149E+4,2.431E+0,
1.99E07,3.139E+4,3.127E+4,7.095E-1,
2E07,3.132E+4,3.104E+4,1.567E+0,
2.01E07,3.069E+4,3.082E+4,-7.477E-1,
2.02E07,3.068E+4,3.060E+4,4.341E-1,
2.03E07,3.017E+4,3.039E+4,-1.276E+0,
2.04E07,3.001E+4,3.017E+4,-9.416E-1,
2.05E07,3.017E+4,2.996E+4,1.196E+0,
2.06E07,2.989E+4,2.975E+4,8.439E-1,
2.07E07,2.970E+4,2.954E+4,9.770E-1,
2.08E07,2.937E+4,2.933E+4,2.579E-1,
2.09E07,2.894E+4,2.912E+4,-1.086E+0,
2.1E07,2.886E+4,2.891E+4,-3.069E-1,
2.11E07,2.855E+4,2.871E+4,-9.247E-1,
2.12E07,2.832E+4,2.851E+4,-1.093E+0,
2.13E07,2.815E+4,2.831E+4,-9.197E-1,
2.14E07,2.790E+4,2.811E+4,-1.235E+0,
2.15E07,2.772E+4,2.791E+4,-1.164E+0,
2.16E07,2.775E+4,2.771E+4,1.933E-1,
2.17E07,2.772E+4,2.752E+4,1.223E+0,
2.18E07,2.721E+4,2.733E+4,-7.432E-1,
2.19E07,2.731E+4,2.714E+4,1.021E+0,
2.2E07,2.727E+4,2.695E+4,1.947E+0,
2.21E07,2.688E+4,2.676E+4,7.369E-1,
2.22E07,2.667E+4,2.657E+4,5.794E-1,
2.23E07,2.645E+4,2.639E+4,3.686E-1,
2.24E07,2.609E+4,2.620E+4,-6.823E-1,
2.25E07,2.570E+4,2.602E+4,-1.970E+0,
