Water (400mA 10ms)

Labels,Decay60,Decay60F1,Decay60F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

2.39E07,2.237E+4,2.246E+4,-6.421E-1,
2.4E07,2.207E+4,2.231E+4,-1.639E+0,
2.41E07,2.203E+4,2.216E+4,-8.358E-1,
2.42E07,2.187E+4,2.200E+4,-8.785E-1,
2.43E07,2.195E+4,2.185E+4,6.749E-1,
2.44E07,2.199E+4,2.170E+4,1.960E+0,
2.45E07,2.171E+4,2.155E+4,1.060E+0,
2.46E07,2.124E+4,2.141E+4,-1.136E+0,
2.47E07,2.110E+4,2.126E+4,-1.083E+0,
2.48E07,2.118E+4,2.112E+4,4.643E-1,
2.49E07,2.070E+4,2.097E+4,-1.923E+0,
2.5E07,2.065E+4,2.083E+4,-1.253E+0,
2.51E07,2.068E+4,2.069E+4,-2.443E-2,
2.52E07,2.064E+4,2.055E+4,6.740E-1,
2.53E07,2.062E+4,2.041E+4,1.456E+0,
2.54E07,2.002E+4,2.027E+4,-1.787E+0,
2.55E07,2.055E+4,2.013E+4,2.924E+0,
2.56E07,1.980E+4,2.000E+4,-1.407E+0,
2.57E07,1.987E+4,1.986E+4,5.592E-2,
2.58E07,1.985E+4,1.973E+4,8.278E-1,
2.59E07,1.964E+4,1.960E+4,3.158E-1,
2.6E07,1.958E+4,1.946E+4,8.208E-1,
2.61E07,1.917E+4,1.933E+4,-1.174E+0,
2.62E07,1.927E+4,1.920E+4,4.673E-1,
2.63E07,1.927E+4,1.908E+4,1.414E+0,
2.64E07,1.884E+4,1.895E+4,-7.888E-1,
2.65E07,1.882E+4,1.882E+4,-3.560E-2,
2.66E07,1.854E+4,1.870E+4,-1.164E+0,
2.67E07,1.866E+4,1.857E+4,6.213E-1,
2.68E07,1.848E+4,1.845E+4,2.224E-1,
2.69E07,1.861E+4,1.833E+4,2.101E+0,
2.7E07,1.828E+4,1.820E+4,5.844E-1,
2.71E07,1.792E+4,1.808E+4,-1.229E+0,
2.72E07,1.804E+4,1.797E+4,5.725E-1,
2.73E07,1.795E+4,1.785E+4,7.717E-1,
2.74E07,1.792E+4,1.773E+4,1.434E+0,
2.75E07,1.758E+4,1.761E+4,-2.825E-1,
2.76E07,1.755E+4,1.750E+4,4.017E-1,
2.77E07,1.772E+4,1.738E+4,2.516E+0,
2.78E07,1.720E+4,1.727E+4,-5.508E-1,
