Air (400mA)

Labels,Decay49,Decay49F1,Decay49F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.58E07,6.032E+3,5.845E+3,2.404E+0,
1.59E07,5.878E+3,5.823E+3,7.126E-1,
1.6E07,5.796E+3,5.802E+3,-7.361E-2,
1.61E07,5.773E+3,5.780E+3,-9.237E-2,
1.62E07,5.757E+3,5.759E+3,-2.118E-2,
1.63E07,5.755E+3,5.737E+3,2.324E-1,
1.64E07,5.684E+3,5.716E+3,-4.285E-1,
1.65E07,5.804E+3,5.695E+3,1.425E+0,
1.66E07,5.723E+3,5.675E+3,6.387E-1,
1.67E07,5.671E+3,5.654E+3,2.240E-1,
1.68E07,5.687E+3,5.634E+3,7.063E-1,
1.69E07,5.641E+3,5.614E+3,3.660E-1,
1.7E07,5.450E+3,5.593E+3,-1.943E+0,
1.71E07,5.723E+3,5.574E+3,1.975E+0,
1.72E07,5.528E+3,5.554E+3,-3.473E-1,
1.73E07,5.473E+3,5.534E+3,-8.278E-1,
1.74E07,5.470E+3,5.515E+3,-6.061E-1,
1.75E07,5.542E+3,5.496E+3,6.238E-1,
1.76E07,5.546E+3,5.476E+3,9.338E-1,
1.77E07,5.349E+3,5.458E+3,-1.484E+0,
1.78E07,5.477E+3,5.439E+3,5.173E-1,
1.79E07,5.416E+3,5.420E+3,-5.535E-2,
1.8E07,5.446E+3,5.402E+3,6.019E-1,
1.81E07,5.528E+3,5.383E+3,1.947E+0,
1.82E07,5.417E+3,5.365E+3,7.059E-1,
1.83E07,5.239E+3,5.347E+3,-1.492E+0,
1.84E07,5.395E+3,5.329E+3,8.972E-1,
1.85E07,5.336E+3,5.311E+3,3.375E-1,
1.86E07,5.355E+3,5.294E+3,8.372E-1,
1.87E07,5.185E+3,5.276E+3,-1.268E+0,
1.88E07,5.313E+3,5.259E+3,7.416E-1,
1.89E07,5.267E+3,5.242E+3,3.478E-1,
1.9E07,5.285E+3,5.225E+3,8.293E-1,
1.91E07,5.117E+3,5.208E+3,-1.269E+0,
1.92E07,5.215E+3,5.191E+3,3.318E-1,
1.93E07,5.208E+3,5.174E+3,4.656E-1,
1.94E07,5.256E+3,5.158E+3,1.353E+0,
1.95E07,5.163E+3,5.142E+3,2.987E-1,
1.96E07,5.210E+3,5.125E+3,1.173E+0,
1.97E07,5.111E+3,5.109E+3,2.513E-2,
1.98E07,5.102E+3,5.093E+3,1.227E-1,
1.99E07,5.081E+3,5.077E+3,5.062E-2,
2E07,5.002E+3,5.062E+3,-8.438E-1,
2.01E07,5.076E+3,5.046E+3,4.198E-1,
2.02E07,4.977E+3,5.031E+3,-7.603E-1,
2.03E07,5.029E+3,5.015E+3,1.932E-1,
2.04E07,4.996E+3,5.000E+3,-5.790E-2,
2.05E07,4.974E+3,4.985E+3,-1.561E-1,
2.06E07,4.900E+3,4.970E+3,-1.001E+0,
