Water (400mA 1ms)

Labels,Decay63,Decay63F1,Decay63F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

2.07E07,4.914E+3,4.913E+3,1.013E-2,
2.08E07,4.862E+3,4.899E+3,-5.302E-1,
2.09E07,4.885E+3,4.885E+3,3.374E-3,
2.1E07,4.937E+3,4.871E+3,9.439E-1,
2.11E07,4.957E+3,4.857E+3,1.425E+0,
2.12E07,4.845E+3,4.843E+3,3.089E-2,
2.13E07,4.894E+3,4.829E+3,9.276E-1,
2.14E07,4.786E+3,4.815E+3,-4.261E-1,
2.15E07,4.701E+3,4.802E+3,-1.473E+0,
2.16E07,4.934E+3,4.789E+3,2.071E+0,
2.17E07,4.664E+3,4.775E+3,-1.629E+0,
2.18E07,4.854E+3,4.762E+3,1.319E+0,
2.19E07,4.771E+3,4.749E+3,3.185E-1,
2.2E07,4.758E+3,4.736E+3,3.185E-1,
2.21E07,4.722E+3,4.723E+3,-1.704E-2,
2.22E07,4.764E+3,4.710E+3,7.764E-1,
2.23E07,4.706E+3,4.698E+3,1.201E-1,
2.24E07,4.677E+3,4.685E+3,-1.201E-1,
2.25E07,4.746E+3,4.673E+3,1.063E+0,
2.26E07,4.637E+3,4.660E+3,-3.441E-1,
2.27E07,4.627E+3,4.648E+3,-3.116E-1,
2.28E07,4.635E+3,4.636E+3,-1.548E-2,
2.29E07,4.595E+3,4.624E+3,-4.280E-1,
2.3E07,4.684E+3,4.612E+3,1.051E+0,
2.31E07,4.557E+3,4.600E+3,-6.405E-1,
2.32E07,4.501E+3,4.588E+3,-1.304E+0,
2.33E07,4.584E+3,4.577E+3,1.057E-1,
2.34E07,4.538E+3,4.565E+3,-4.051E-1,
2.35E07,4.651E+3,4.554E+3,1.425E+0,
2.36E07,4.505E+3,4.542E+3,-5.583E-1,
2.37E07,4.445E+3,4.531E+3,-1.293E+0,
2.38E07,4.491E+3,4.520E+3,-4.332E-1,
2.39E07,4.581E+3,4.509E+3,1.065E+0,
2.4E07,4.422E+3,4.498E+3,-1.142E+0,
2.41E07,4.556E+3,4.487E+3,1.021E+0,
2.42E07,4.509E+3,4.476E+3,4.878E-1,
2.43E07,4.494E+3,4.466E+3,4.248E-1,
2.44E07,4.438E+3,4.455E+3,-2.535E-1,
2.45E07,4.446E+3,4.444E+3,2.488E-2,
2.46E07,4.475E+3,4.434E+3,6.147E-1,
2.47E07,4.406E+3,4.424E+3,-2.638E-1,
2.48E07,4.380E+3,4.413E+3,-5.019E-1,
2.49E07,4.427E+3,4.403E+3,3.605E-1,
2.5E07,4.360E+3,4.393E+3,-4.982E-1,
2.51E07,4.440E+3,4.383E+3,8.575E-1,
2.52E07,4.377E+3,4.373E+3,6.187E-2,
2.53E07,4.461E+3,4.363E+3,1.467E+0,
2.54E07,4.416E+3,4.353E+3,9.444E-1,
2.55E07,4.364E+3,4.344E+3,3.098E-1,
2.56E07,4.528E+3,4.334E+3,2.884E+0,
2.57E07,4.337E+3,4.324E+3,1.920E-1,
2.58E07,4.294E+3,4.315E+3,-3.187E-1,
2.59E07,4.319E+3,4.305E+3,2.056E-1,
2.6E07,4.419E+3,4.296E+3,1.848E+0,
2.61E07,4.327E+3,4.287E+3,6.091E-1,
2.62E07,4.297E+3,4.278E+3,2.933E-1,
2.63E07,4.275E+3,4.269E+3,9.661E-2,
2.64E07,4.299E+3,4.260E+3,5.998E-1,
2.65E07,4.165E+3,4.251E+3,-1.328E+0,
2.66E07,4.259E+3,4.242E+3,2.625E-1,
2.67E07,4.288E+3,4.233E+3,8.388E-1,
2.68E07,4.350E+3,4.224E+3,1.905E+0,
2.69E07,4.158E+3,4.216E+3,-8.949E-1,
2.7E07,4.175E+3,4.207E+3,-4.972E-1,
2.71E07,4.133E+3,4.199E+3,-1.021E+0,
2.72E07,4.163E+3,4.190E+3,-4.214E-1,
2.73E07,4.234E+3,4.182E+3,8.019E-1,
2.74E07,4.258E+3,4.174E+3,1.295E+0,
2.75E07,4.106E+3,4.165E+3,-9.253E-1,
2.76E07,4.101E+3,4.157E+3,-8.765E-1,
2.77E07,4.137E+3,4.149E+3,-1.872E-1,
2.78E07,4.138E+3,4.141E+3,-4.679E-2,
2.79E07,4.188E+3,4.133E+3,8.491E-1,
2.8E07,4.058E+3,4.125E+3,-1.054E+0,
2.81E07,4.157E+3,4.117E+3,6.154E-1,
2.82E07,4.136E+3,4.110E+3,4.112E-1,
2.83E07,4.068E+3,4.102E+3,-5.308E-1,
2.84E07,4.133E+3,4.094E+3,6.033E-1,
2.85E07,4.165E+3,4.087E+3,1.214E+0,
2.86E07,4.016E+3,4.079E+3,-9.961E-1,
2.87E07,4.025E+3,4.072E+3,-7.356E-1,
2.88E07,4.115E+3,4.064E+3,7.907E-1,
2.89E07,4.087E+3,4.057E+3,4.700E-1,
2.9E07,4.183E+3,4.050E+3,2.061E+0,
2.91E07,3.993E+3,4.042E+3,-7.829E-1,
2.92E07,4.134E+3,4.035E+3,1.535E+0,
2.93E07,4.106E+3,4.028E+3,1.214E+0,
2.94E07,4.064E+3,4.021E+3,6.714E-1,
2.95E07,4.115E+3,4.014E+3,1.571E+0,
2.96E07,3.949E+3,4.007E+3,-9.278E-1,
2.97E07,3.903E+3,4.000E+3,-1.560E+0,
2.98E07,4.037E+3,3.994E+3,6.824E-1,
2.99E07,3.970E+3,3.987E+3,-2.681E-1,
3E07,4.060E+3,3.980E+3,1.252E+0,
3.01E07,3.926E+3,3.974E+3,-7.591E-1,
3.02E07,3.999E+3,3.967E+3,5.063E-1,
3.03E07,3.990E+3,3.960E+3,4.678E-1,
3.04E07,3.982E+3,3.954E+3,4.441E-1,
3.05E07,3.863E+3,3.948E+3,-1.360E+0,
3.06E07,4.005E+3,3.941E+3,1.008E+0,
3.07E07,3.976E+3,3.935E+3,6.522E-1,
3.08E07,3.996E+3,3.929E+3,1.066E+0,
3.09E07,3.982E+3,3.922E+3,9.445E-1,
3.1E07,3.946E+3,3.916E+3,4.738E-1,
3.11E07,3.886E+3,3.910E+3,-3.870E-1,
3.12E07,3.927E+3,3.904E+3,3.660E-1,
3.13E07,3.910E+3,3.898E+3,1.910E-1,
3.14E07,3.882E+3,3.892E+3,-1.620E-1,
3.15E07,3.951E+3,3.886E+3,1.031E+0,
3.16E07,3.927E+3,3.880E+3,7.449E-1,
3.17E07,3.865E+3,3.875E+3,-1.529E-1,
3.18E07,3.714E+3,3.869E+3,-2.539E+0,
3.19E07,3.743E+3,3.863E+3,-1.962E+0,
3.2E07,3.758E+3,3.857E+3,-1.621E+0,
3.21E07,3.900E+3,3.852E+3,7.731E-1,
3.22E07,3.835E+3,3.846E+3,-1.799E-1,
3.23E07,3.943E+3,3.841E+3,1.631E+0,
3.24E07,3.852E+3,3.835E+3,2.719E-1,
3.25E07,3.866E+3,3.830E+3,5.841E-1,
3.26E07,3.758E+3,3.824E+3,-1.081E+0,
