Water (400mA)

Labels,Decay36,Decay36F1,Decay36F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

1.42E07,4.982E+3,4.993E+3,-1.562E-1,
1.43E07,4.951E+3,4.977E+3,-3.744E-1,
1.44E07,4.853E+3,4.962E+3,-1.562E+0,
1.45E07,5.023E+3,4.946E+3,1.081E+0,
1.46E07,4.830E+3,4.931E+3,-1.454E+0,
1.47E07,5.012E+3,4.916E+3,1.358E+0,
1.48E07,4.831E+3,4.901E+3,-1.005E+0,
1.49E07,4.868E+3,4.886E+3,-2.565E-1,
1.5E07,4.908E+3,4.871E+3,5.269E-1,
1.51E07,4.895E+3,4.856E+3,5.517E-1,
1.52E07,4.886E+3,4.842E+3,6.318E-1,
1.53E07,4.724E+3,4.827E+3,-1.504E+0,
1.54E07,4.738E+3,4.813E+3,-1.090E+0,
1.55E07,4.941E+3,4.799E+3,2.022E+0,
1.56E07,4.806E+3,4.785E+3,3.065E-1,
1.57E07,4.813E+3,4.771E+3,6.087E-1,
1.58E07,4.684E+3,4.757E+3,-1.065E+0,
1.59E07,4.737E+3,4.743E+3,-8.935E-2,
1.6E07,4.686E+3,4.730E+3,-6.356E-1,
1.61E07,4.749E+3,4.716E+3,4.792E-1,
1.62E07,4.701E+3,4.703E+3,-2.276E-2,
1.63E07,4.727E+3,4.689E+3,5.491E-1,
1.64E07,4.753E+3,4.676E+3,1.116E+0,
1.65E07,4.636E+3,4.663E+3,-3.959E-1,
1.66E07,4.703E+3,4.650E+3,7.732E-1,
1.67E07,4.636E+3,4.637E+3,-1.607E-2,
1.68E07,4.611E+3,4.624E+3,-1.962E-1,
1.69E07,4.543E+3,4.612E+3,-1.019E+0,
1.7E07,4.450E+3,4.599E+3,-2.235E+0,
1.71E07,4.664E+3,4.587E+3,1.133E+0,
1.72E07,4.585E+3,4.574E+3,1.586E-1,
1.73E07,4.476E+3,4.562E+3,-1.285E+0,
1.74E07,4.541E+3,4.550E+3,-1.312E-1,
1.75E07,4.584E+3,4.538E+3,6.827E-1,
1.76E07,4.434E+3,4.526E+3,-1.379E+0,
1.77E07,4.395E+3,4.514E+3,-1.794E+0,
1.78E07,4.438E+3,4.502E+3,-9.635E-1,
1.79E07,4.562E+3,4.491E+3,1.058E+0,
1.8E07,4.447E+3,4.479E+3,-4.790E-1,
1.81E07,4.366E+3,4.467E+3,-1.535E+0,
1.82E07,4.368E+3,4.456E+3,-1.333E+0,
1.83E07,4.389E+3,4.445E+3,-8.419E-1,
1.84E07,4.486E+3,4.434E+3,7.827E-1,
1.85E07,4.345E+3,4.422E+3,-1.175E+0,
1.86E07,4.442E+3,4.411E+3,4.584E-1,
1.87E07,4.363E+3,4.401E+3,-5.680E-1,
1.88E07,4.516E+3,4.390E+3,1.880E+0,
1.89E07,4.398E+3,4.379E+3,2.876E-1,
1.9E07,4.426E+3,4.368E+3,8.679E-1,
1.91E07,4.355E+3,4.358E+3,-4.069E-2,
1.92E07,4.354E+3,4.347E+3,1.031E-1,
1.93E07,4.424E+3,4.337E+3,1.311E+0,
1.94E07,4.318E+3,4.326E+3,-1.289E-1,
1.95E07,4.288E+3,4.316E+3,-4.312E-1,
1.96E07,4.323E+3,4.306E+3,2.572E-1,
1.97E07,4.294E+3,4.296E+3,-3.080E-2,
1.98E07,4.264E+3,4.286E+3,-3.374E-1,
1.99E07,4.364E+3,4.276E+3,1.330E+0,
2E07,4.289E+3,4.266E+3,3.465E-1,
2.01E07,4.132E+3,4.257E+3,-1.938E+0,
2.02E07,4.209E+3,4.247E+3,-5.842E-1,
2.03E07,4.278E+3,4.237E+3,6.220E-1,
2.04E07,4.243E+3,4.228E+3,2.332E-1,
2.05E07,4.224E+3,4.218E+3,8.644E-2,
2.06E07,4.220E+3,4.209E+3,1.689E-1,
2.07E07,4.205E+3,4.200E+3,8.087E-2,
2.08E07,4.049E+3,4.191E+3,-2.225E+0,
2.09E07,4.144E+3,4.181E+3,-5.815E-1,
2.1E07,4.153E+3,4.172E+3,-3.008E-1,
2.11E07,4.161E+3,4.163E+3,-3.735E-2,
2.12E07,4.132E+3,4.155E+3,-3.501E-1,
2.13E07,4.076E+3,4.146E+3,-1.091E+0,
2.14E07,4.102E+3,4.137E+3,-5.453E-1,
2.15E07,4.148E+3,4.128E+3,3.069E-1,
2.16E07,4.075E+3,4.120E+3,-6.990E-1,
2.17E07,4.235E+3,4.111E+3,1.904E+0,
2.18E07,4.139E+3,4.103E+3,5.657E-1,
2.19E07,4.100E+3,4.094E+3,9.057E-2,
2.2E07,4.168E+3,4.086E+3,1.272E+0,
2.21E07,4.146E+3,4.078E+3,1.062E+0,
2.22E07,4.010E+3,4.069E+3,-9.380E-1,
2.23E07,4.222E+3,4.061E+3,2.474E+0,
2.24E07,4.042E+3,4.053E+3,-1.761E-1,
2.25E07,4.135E+3,4.045E+3,1.397E+0,
2.26E07,4.063E+3,4.037E+3,4.038E-1,
2.27E07,3.993E+3,4.029E+3,-5.759E-1,
2.28E07,4.024E+3,4.022E+3,3.808E-2,
2.29E07,4.069E+3,4.014E+3,8.647E-1,
2.3E07,3.977E+3,4.006E+3,-4.624E-1,
2.31E07,4.038E+3,3.999E+3,6.209E-1,
2.32E07,4.076E+3,3.991E+3,1.331E+0,
2.33E07,3.997E+3,3.984E+3,2.135E-1,
2.34E07,3.932E+3,3.976E+3,-7.028E-1,
2.35E07,3.983E+3,3.969E+3,2.266E-1,
2.36E07,3.926E+3,3.961E+3,-5.648E-1,
2.37E07,4.065E+3,3.954E+3,1.739E+0,
2.38E07,3.894E+3,3.947E+3,-8.485E-1,
2.39E07,3.887E+3,3.940E+3,-8.471E-1,
2.4E07,3.915E+3,3.933E+3,-2.836E-1,
2.41E07,3.910E+3,3.926E+3,-2.515E-1,
2.42E07,3.927E+3,3.919E+3,1.314E-1,
2.43E07,3.933E+3,3.912E+3,3.370E-1,
2.44E07,3.890E+3,3.905E+3,-2.408E-1,
2.45E07,3.890E+3,3.898E+3,-1.320E-1,
2.46E07,3.960E+3,3.891E+3,1.089E+0,
2.47E07,3.957E+3,3.885E+3,1.147E+0,
2.48E07,3.846E+3,3.878E+3,-5.191E-1,
2.49E07,3.870E+3,3.872E+3,-2.609E-2,
2.5E07,3.797E+3,3.865E+3,-1.105E+0,
2.51E07,3.849E+3,3.859E+3,-1.554E-1,
2.52E07,3.847E+3,3.852E+3,-8.438E-2,
2.53E07,3.857E+3,3.846E+3,1.791E-1,
2.54E07,3.860E+3,3.840E+3,3.288E-1,
2.55E07,3.902E+3,3.833E+3,1.100E+0,
