Labels	no pinhole	
Type	Time Scan	
Comment		
Start	0.00	
Stop	99975008.000000	
Step	2.5E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

9075000.700000	5.303E+3	
9100000.700000	5.275E+3	
9125000.700000	5.339E+3	
9150000.700000	5.324E+3	
9175000.700000	5.317E+3	
9200000.700000	5.257E+3	
9225000.700000	5.238E+3	
9250000.700000	5.362E+3	
9275000.700000	5.280E+3	
9300000.700000	5.163E+3	
9325000.700000	5.169E+3	
9350000.700000	5.200E+3	
9375000.700000	5.276E+3	
9400000.700000	5.287E+3	
9425000.700000	5.290E+3	
9450000.700000	5.162E+3	
9475000.700000	5.073E+3	
9500000.700000	5.179E+3	
9525000.700000	5.180E+3	
9550000.700000	5.078E+3	
9575000.700000	5.138E+3	
9600000.800000	5.171E+3	
9625000.800000	5.104E+3	
9650000.800000	5.016E+3	
9675000.800000	5.088E+3	
9700000.800000	5.065E+3	
9725000.800000	5.210E+3	
9750000.800000	5.139E+3	
9775000.800000	5.183E+3	
9800000.800000	4.893E+3	
9825000.800000	5.131E+3	
9850000.800000	4.993E+3	
9875000.800000	5.062E+3	
9900000.800000	5.096E+3	
9925000.800000	4.941E+3	
9950000.800000	4.864E+3	
9975000.800000	5.038E+3	
1E07	4.844E+3	
1.0025E0007	4.964E+3	
1.005E007	4.918E+3	
1.0075E0007	5.001E+3	
1.01E07	4.885E+3	
1.0125E0007	4.949E+3	
1.015E007	4.952E+3	
1.0175E0007	4.908E+3	
1.02E07	4.842E+3	
1.0225E0007	4.769E+3	
1.025E007	4.821E+3	
1.0275E0007	4.857E+3	
1.03E07	4.869E+3	
1.0325E0007	4.894E+3	
1.035E007	4.822E+3	
1.0375E0007	4.869E+3	
1.04E07	4.753E+3	
1.0425E0007	4.718E+3	
1.045E007	4.852E+3	
1.0475E0007	4.735E+3	
1.05E07	4.850E+3	
1.0525E0007	4.713E+3	
1.055E007	4.705E+3	
1.0575E0007	4.819E+3	
1.06E07	4.628E+3	
1.0625E0007	4.694E+3	
1.065E007	4.609E+3	
1.0675E0007	4.672E+3	
1.07E07	4.658E+3	
1.0725E0007	4.684E+3	
1.075E007	4.710E+3	
1.0775E0007	4.692E+3	
1.08E07	4.678E+3	
1.0825E0007	4.502E+3	
1.085E007	4.584E+3	
1.0875E0007	4.670E+3	
1.09E07	4.551E+3	
1.0925E0007	4.439E+3	
1.095E007	4.579E+3	
1.0975E0007	4.661E+3	
1.1E07	4.510E+3	
1.1025E0007	4.582E+3	
1.105E007	4.601E+3	
1.1075E0007	4.499E+3	
1.11E07	4.485E+3	
1.1125E0007	4.394E+3	
1.115E007	4.484E+3	
1.1175E0007	4.529E+3	
1.12E07	4.437E+3	
1.1225E0007	4.592E+3	
1.125E007	4.433E+3	
1.1275E0007	4.452E+3	
1.13E07	4.467E+3	
1.1325E0007	4.466E+3	
1.135E007	4.446E+3	
1.1375E0007	4.436E+3	
1.14E07	4.419E+3	
1.1425E0007	4.285E+3	
1.145E007	4.381E+3	
1.1475E0007	4.384E+3	
1.15E07	4.398E+3	
1.1525E0007	4.512E+3	
1.155E007	4.259E+3	
1.1575E0007	4.357E+3	
1.16E07	4.315E+3	
1.1625E0007	4.350E+3	
1.165E007	4.469E+3	
1.1675E0007	4.298E+3	
1.17E07	4.310E+3	
1.1725E0007	4.306E+3	
1.175E007	4.391E+3	
1.1775E0007	4.236E+3	
1.18E07	4.278E+3	
1.1825E0007	4.272E+3	
1.185E007	4.260E+3	
1.1875E0007	4.187E+3	
1.19E07	4.225E+3	
1.1925E0007	4.284E+3	
1.195E007	4.264E+3	
1.1975E0007	4.139E+3	
1.2E07	4.255E+3	
1.2025E0007	4.103E+3	
1.205E007	4.173E+3	
1.2075E0007	4.290E+3	
1.21E07	4.225E+3	
1.2125E0007	4.077E+3	
1.215E007	4.201E+3	
1.2175E0007	4.317E+3	
1.22E07	4.107E+3	
1.2225E0007	4.207E+3	
1.225E007	4.163E+3	
1.2275E0007	4.237E+3	
1.23E07	4.121E+3	
1.2325E0007	4.140E+3	
1.235E007	4.175E+3	
1.2375E0007	4.053E+3	
1.24E07	4.209E+3	
1.2425E0007	4.051E+3	
1.245E007	4.134E+3	
1.2475E0007	3.948E+3	
1.25E07	3.980E+3	
1.2525E0007	3.894E+3	
1.255E007	4.016E+3	
1.2575E0007	3.993E+3	
1.26E07	4.101E+3	
1.2625E0007	3.906E+3	
1.265E007	4.089E+3	
1.2675E0007	4.021E+3	
1.27E07	3.989E+3	
1.2725E0007	3.918E+3	
1.275E007	3.948E+3	
1.2775E0007	4.008E+3	
1.28E07	3.931E+3	
1.2825E0007	3.950E+3	
1.285E007	3.932E+3	
1.2875E0007	4.025E+3	
1.29E07	3.875E+3	
1.2925E0007	4.008E+3	
1.295E007	3.930E+3	
1.2975E0007	4.004E+3	
1.3E07	3.815E+3	
1.3025E0007	3.856E+3	
1.305E007	3.827E+3	
1.3075E0007	3.855E+3	
1.31E07	3.860E+3	
1.3125E0007	3.841E+3	
1.315E007	3.863E+3	
1.3175E0007	3.780E+3	
1.32E07	3.847E+3	
1.3225E0007	3.761E+3	
1.325E007	3.850E+3	
1.3275E0007	3.902E+3	
1.33E07	3.777E+3	
1.3325E0007	3.828E+3	
1.335E007	3.889E+3	
1.3375E0007	3.872E+3	
1.34E07	3.762E+3	
1.3425E0007	3.836E+3	
1.345E007	3.680E+3	
1.3475E0007	3.662E+3	
1.35E07	3.777E+3	
1.3525E0007	3.756E+3	
1.355E007	3.730E+3	
1.3575E0007	3.768E+3	
1.36E07	3.675E+3	
1.3625E0007	3.713E+3	
1.365E007	3.659E+3	
1.3675E0007	3.609E+3	
1.37E07	3.688E+3	
1.3725E0007	3.691E+3	
1.375E007	3.678E+3	
1.3775E0007	3.688E+3	
1.38E07	3.757E+3	
1.3825E0007	3.617E+3	
1.385E007	3.684E+3	
1.3875E0007	3.692E+3	
1.39E07	3.731E+3	
1.3925E0007	3.639E+3	
1.395E007	3.692E+3	
1.3975E0007	3.510E+3	
1.4E07	3.594E+3	
1.4025E0007	3.609E+3	
1.405E007	3.687E+3	
1.4075E0007	3.529E+3	
1.41E07	3.635E+3	
1.4125E0007	3.622E+3	
1.415E007	3.510E+3	
1.4175E0007	3.604E+3	
